Gene_id	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4
YGR178C	41	40	53	39	41	33	36	47
YGR179C	18	21	17	27	23	15	19	15
YGR180C	17	23	12	9	26	26	18	25
YGR181W	10	4	9	10	7	2	3	6
YGR182C	9	3	4	3	8	8	7	14
YGR183C	6	5	2	3	2	3	10	3
YGR184C	118	104	114	115	91	110	94	99
YGR185C	14	19	16	22	30	17	20	12
YGR186W	28	38	33	45	47	32	47	30
YGR187C	17	19	20	27	23	20	13	23
YGR188C	52	52	44	62	68	74	43	44
YGR189C	23	25	22	23	31	26	24	25
YGR190C	11	9	12	7	8	6	16	12
YGR191W	50	33	29	34	34	32	35	36
YGR192C	17	7	15	11	20	16	13	18
YGR193C	26	22	12	22	25	17	16	20
YGR194C	27	28	39	31	20	31	30	26
YGR195W	10	16	4	13	14	9	17	17
YGR196C	48	40	38	46	45	45	51	31
YGR197C	28	25	30	27	25	32	28	24
YGR198W	29	55	44	48	43	46	36	39
YGR199W	40	51	40	40	43	36	35	37
YGR200C	40	38	45	44	52	47	47	47
YGR201C	7	12	11	13	10	13	16	10
YGR202C	19	25	26	18	24	24	19	29
YGR203W	4	5	3	7	10	8	9	5
YGR204C-A	0	0	1	0	2	3	0	0
YGR204W	44	55	50	39	66	53	49	44
YGR205W	15	13	14	15	13	12	11	13
YGR206W	2	4	2	3	6	4	6	3
YGR207C	8	8	16	8	18	15	15	11
YGR208W	16	12	15	23	17	15	10	16
YGR209C	7	1	2	5	1	2	1	5
YGR210C	22	24	23	23	22	34	19	21
YGR211W	33	36	21	31	37	22	22	17
YGR212W	26	19	19	34	22	23	25	26
YGR213C	21	18	13	10	22	17	19	14
YGR214W	12	13	17	11	21	15	11	13
YGR215W	4	5	3	6	7	2	3	5
YGR216C	35	23	47	41	42	36	30	30
YGR217W	105	101	122	140	122	107	103	112
YGR218W	71	52	52	56	59	55	44	48
YGR219W	10	9	9	13	17	5	10	7
YGR220C	23	18	26	12	17	14	13	19
YGR221C	6	9	4	11	31	33	30	35
YGR222W	13	13	16	20	11	10	12	16
YGR223C	17	22	17	25	31	30	32	31
YGR224W	32	32	35	39	43	30	29	23
